experiment,condition,model,seed,base_test_mse,best_test_mse,best_alpha,improvement_pct,test_mse_a0.0,test_mse_a0.3,test_mse_a0.5,test_mse_a0.7,test_mse_a1.0
A,main,DT(d3),56,7.532690311458779,7.532690311458779,1.0,0.0,7.543061257344259,7.538923234696382,7.537027934068375,7.535823338350159,7.532690311458779
A,main,DT(d3),57,7.333454306607731,7.454257128668435,0.0,-1.6472840357354672,7.454257128668435,7.415222117173815,7.391502193335773,7.36962500322443,7.333454306607731
A,main,DT(d3),58,7.870345515449606,7.8557702569955286,0.5,0.1851921040247347,8.535355145109023,8.439913877429191,7.8557702569955286,7.861344701368536,7.870345515449606
A,main,DT(d3),59,8.39310771324437,7.529587165820243,0.7,10.2884482950396,7.529647413802276,8.410964017094276,8.319890014543503,7.529587165820243,8.39310771324437
A,main,DT(d3),60,7.24311710716178,7.24311710716178,1.0,0.0,7.6353948812775405,7.610876597424401,7.381517537511123,7.574387180751007,7.24311710716178
A,main,DT(d3),61,7.522559147872564,7.522559147872564,1.0,0.0,7.536409407272066,7.53267642977178,7.53052857152039,7.524261554132836,7.522559147872564
A,main,KNN(k5),42,0.9292018264108197,0.9335003261322006,0.0,-0.46260129922306004,0.9335003261322006,0.9289961383195848,0.9275241263950798,0.9272767384310326,0.9292018264108197
A,main,KNN(k5),43,0.7549576791232748,0.7537807936016903,0.7,0.15588761517748592,0.7600825719278576,0.7558307507235235,0.7542887524744241,0.7537807936016903,0.7549576791232748
A,main,KNN(k5),44,0.9731466825082589,0.975102843159263,0.7,-0.20101395669994718,0.999629416113491,0.9856959366013558,0.9792586928459158,0.975102843159263,0.9731466825082589
A,main,KNN(k5),45,0.9791605082314961,0.9745529681498059,0.5,0.47056024451110295,0.9799727118536132,0.9755175915770692,0.9745529681498059,0.9751927101282222,0.9791605082314961
A,main,KNN(k5),46,0.9551527505803299,0.9551527505803299,1.0,0.0,0.9436129276963395,0.940655591572034,0.941740835579403,0.94527152072563,0.9551527505803299
A,main,KNN(k5),47,0.6539732437444741,0.6539732437444741,1.0,0.0,0.6835227456549774,0.6709768612482367,0.6643658115644998,0.6591570604840354,0.6539732437444741
A,main,KNN(k5),48,0.9950622706009157,1.0047986361335448,0.0,-0.978467963291319,1.0047986361335448,0.9971327620068057,0.9942816861446699,0.9932382157937538,0.9950622706009157
A,main,KNN(k5),49,1.007915162673216,1.007915162673216,1.0,0.0,1.109228417687185,1.0706687659234886,1.048850748204598,1.0301434639179006,1.007915162673216
A,main,KNN(k5),50,1.024016529480381,1.024016529480381,1.0,0.0,1.0243312101261963,1.0213327800555236,1.0207166961402787,1.021206907797197,1.024016529480381
