experiment,condition,model,seed,base_test_acc,best_test_acc,best_val_acc,best_alpha,delta_pp,test_acc_a0.0,test_acc_a0.3,test_acc_a0.5,test_acc_a0.7,test_acc_a1.0
A,main,Logistic,43,0.43,0.429375,0.43125,0.0,-0.06249999999999867,0.429375,0.430625,0.43125,0.430625,0.43
A,main,Logistic,44,0.446875,0.446875,0.43333333333333335,1.0,0.0,0.448125,0.449375,0.4475,0.446875,0.446875
A,main,Logistic,45,0.455625,0.456875,0.446875,0.7,0.12499999999999734,0.45625,0.454375,0.456875,0.456875,0.455625
A,main,Logistic,46,0.435625,0.436875,0.43645833333333334,0.0,0.1250000000000029,0.436875,0.44,0.439375,0.4375,0.435625
A,main,Logistic,47,0.435625,0.43625,0.43645833333333334,0.7,0.06250000000000422,0.435,0.435,0.43625,0.43625,0.435625
A,main,Logistic,48,0.45625,0.455625,0.46041666666666664,0.7,-0.06249999999999867,0.455625,0.456875,0.45625,0.455625,0.45625
A,main,Logistic,49,0.448125,0.445625,0.4395833333333333,0.0,-0.2500000000000002,0.445625,0.44625,0.449375,0.44875,0.448125
A,main,Logistic,50,0.4375,0.4375,0.4427083333333333,1.0,0.0,0.43625,0.43625,0.435625,0.43625,0.4375
A,main,Logistic,51,0.45125,0.450625,0.4625,0.5,-0.06249999999999867,0.450625,0.45,0.450625,0.45125,0.45125
A,main,Logistic,52,0.4425,0.43875,0.446875,0.5,-0.3750000000000031,0.440625,0.439375,0.43875,0.439375,0.4425
A,main,Logistic,53,0.464375,0.465,0.42604166666666665,0.7,0.06250000000000422,0.4625,0.463125,0.464375,0.465,0.464375
A,main,Logistic,54,0.45875,0.456875,0.459375,0.0,-0.18750000000000155,0.456875,0.4575,0.4575,0.4575,0.45875
A,main,Logistic,55,0.443125,0.441875,0.4395833333333333,0.3,-0.12499999999999734,0.441875,0.441875,0.4425,0.441875,0.443125
A,main,Logistic,56,0.4575,0.4575,0.45625,1.0,0.0,0.458125,0.45875,0.458125,0.458125,0.4575
A,main,Logistic,57,0.454375,0.45375,0.478125,0.7,-0.06249999999999867,0.453125,0.454375,0.455,0.45375,0.454375
A,main,Logistic,58,0.4275,0.430625,0.45208333333333334,0.3,0.3124999999999989,0.431875,0.430625,0.428125,0.428125,0.4275
A,main,Logistic,59,0.446875,0.44625,0.45416666666666666,0.5,-0.06250000000000422,0.44875,0.448125,0.44625,0.44625,0.446875
A,main,Logistic,60,0.455625,0.455,0.4625,0.0,-0.06249999999999867,0.455,0.455625,0.455625,0.455625,0.455625
A,main,Logistic,61,0.453125,0.45375,0.4354166666666667,0.0,0.06249999999999867,0.45375,0.454375,0.455,0.45375,0.453125
A,main,MLP(8),42,0.66875,0.66875,0.68125,0.7,0.0,0.6675,0.6825,0.655,0.66875,0.66875
