experiment,model,seed,standard,LS(0.01),LS(0.05),LS(0.1),LS(0.3),EarlyStop,L2reg
F,MLP(16x2),45,0.2627673061291054,0.22195744975715181,0.23533807437376622,0.30650099335332187,0.24840084401339077,0.48526113740406696,0.2581543873626344
F,MLP(4),46,5.73281644539363,7.4119847455662295,5.157444588711718,5.130354110624248,5.216680412811958,5.467377613090017,5.081747390339981
F,MLP(8),46,4.918884262693151,3.265607192505711,3.3982830491819787,3.2207448443344346,4.429799516448353,5.2901767527981844,3.6217015742197445
F,MLP(16),46,2.1432371051756,2.0247482097433753,2.889551376835785,1.8658342675254176,2.9677151231932495,3.6084797447558246,2.144829857131427
F,MLP(8x2),46,1.8589270542809238,1.0287251656429937,1.6293848604027321,1.36067680068103,1.8480507943080944,3.043802275279045,1.3552505520248241
F,MLP(16x2),46,0.41649925644508357,0.40533566321709363,0.4268895714625321,0.4882082131733872,0.4109194526533986,0.7907066001214885,0.39558318515027374
F,MLP(4),47,4.891440129707139,4.885335481273925,5.04715474787789,6.342939596515356,4.937746101615712,5.120126359930935,4.926163916662528
F,MLP(8),47,4.692331775567597,4.8163896730046245,3.0390358776354596,4.797651070979672,4.070965232223319,4.801580038143988,2.6208682959542937
F,MLP(16),47,2.35054566624019,1.8657207868635801,1.5954190736123657,2.326442495581451,2.0581657644970703,3.0217184260061356,1.4785706901708797
F,MLP(8x2),47,1.2551978078948378,0.5898725260947681,1.4980471074200377,1.7306434041371617,1.3272998524103259,1.907849824207148,1.2591168569905085
F,MLP(16x2),47,0.37177986365918425,0.3669589447443871,0.4093295320075375,0.42624784912008845,0.4186520846554398,0.729623414738094,0.3649392722958534
F,MLP(4),48,5.049837852857452,6.735577563972163,4.897944303748508,7.347965235740589,4.92332412894009,8.683106142942815,5.0808965313000645
F,MLP(8),48,4.280738285191411,3.196760447676019,2.8793064930756076,4.774359947366864,3.2260800908498886,4.876954471693069,4.801989318288974
F,MLP(16),48,2.4314187742230273,2.2013481831611617,2.316071847977629,2.1424731362004876,2.624213668562023,3.3983828375555505,2.3114505258936524
F,MLP(8x2),48,1.115229067393919,0.8181719438165973,1.5194204511467744,0.8329127130589116,0.8861892342489439,4.60459787130553,0.7399070772004732
F,MLP(16x2),48,0.3781314000627252,0.24715891625365774,0.45668517743643555,0.36629526640577886,0.42561796582462375,0.4983586837411177,0.46195458506906084
F,MLP(4),49,5.07462643811117,7.167743862782188,7.026708516786621,7.345455091125144,5.069233914076491,5.418070150490663,7.362882480347709
F,MLP(8),49,4.299545532210393,3.4968493455063143,4.6967776158272665,3.195972605201933,4.25318841799683,3.786105118656813,3.777757096399245
F,MLP(16),49,2.674847871530429,2.340607068436739,2.1678817223607165,2.9758108262127005,2.629110034157469,3.9719622985573833,3.073815928652611
F,MLP(8x2),49,1.585984583740897,1.5837466361928818,1.0946382993533934,4.891332921154382,1.680433942885873,3.321835017888718,1.6532471567179452
F,MLP(16x2),49,1.5387720881702478,0.49314463216884624,0.4736782186850153,0.4714600152992267,0.4798392281702926,0.6227883538798377,0.500922782352233
F,MLP(4),50,5.20613207037888,5.13123966699736,5.3354323576024925,5.197320618244683,8.424898204692127,5.476354601998824,5.102463294821484
F,MLP(8),50,2.6759627928634626,2.6945560731052924,2.887265744973806,3.863643648485454,3.692636986991557,5.390585680892369,4.806128689388433
F,MLP(16),50,2.05291731020641,2.153631488304893,2.488070607702878,1.8928260059941266,2.0179431257530767,3.0865862714436387,2.129853478021304
